address,referrer,maxAmount,unitPrice,isGuaranteed,when
0x8850130C0569CD69f5BF7a581B03B1A383c92275,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,1,350,TRUE,
0x639628E37aDb904e3aC62EF9e55b8F8176Ae8eFF,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
0x718E746294b2135f5cc5f3CEeDE34d9e97C61A03,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
0x67837840c07465DFb1C4A7E9E46c1f54c9cB84eE,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
0x4E0Ce66b22552C387194b64381B861B933346F56,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
0x91c2a30747663ad058a045e8e29c076bdad15288,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
0xFeB9bD767D5FA68fe8F079f85Fe366fc58aeA58F,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
0xE50263Ad1764c25D9e9f8C49BB63dB2B2eA17498,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
0x0B4270B40820229fE10AFBe88bc714111ee9258E,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
0x255fC518e1C48D6E44ED942db6504a0dBe17DE26,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
0xDA263667e51F7BDD638aBf6d9F67d7327745363d,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
0xADE9E683Cfa84d4c47D74DE76AFe8c4d7042EB2b,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
0xd6846289dd3df8c563bcC837b273b06D5E7Dd25F,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
0x3BA67De4C497b3344219C189A0A4F0cf8c7248E0,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
0xf5e7bc20ba10a6799a69c6a3e7a027510c3621aa,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
0xc9a4792c9003366aFa9409EB46286b9AA7b0CD4E,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
0x1e21bd70E17D43E50b9Cc13c9d6F51A4611CAC1A,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
0xb53b1272245cf80e50716647047327BE131AF27d,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
0x99F872252219D4960cAb6a35f08D92d7a071c961,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
0xfEe2A19BB9F8D1D9455476dA46D0345Ae1f7440B,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
0x3EB3560132d982C245C58bBAAfe16AF1D596E229,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
0x363467759BfD02C9E6182c9d2b3015645719A376,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
0xFC07314df7dA17Fa9e8B1CB2B238B37C2038acd3,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
0xeC8f6775Cc11F3A844949eD07E10EE66BD77683E,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
0x3A1d27A0fD490eD5484E601D68149Ab8D89a9FB7,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
0x88e137bd3C1d8E94162B48034b221335f7aCe9ff,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
0x1876098bbeE6A857cDCA1F8B3F034C0061E94144,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
0xe13566ad4B92c812BD723DD7325f7893aac5BAFd,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
0x8Bc7142279a0E405B3D224230A3786976aa3967f,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
0x08414D39eC02da7A5aBa9Ad8865b92619728EAC7,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
0x5953f0dCCEd0d0D3bC79D99E5c588F353F200928,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
0xdd4627437cC6147CeD8bA309DbD4bCB716Fd540E,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
0x33016D00cCEe33F9f095B43f66Df3aB628358E89,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
0xAc44Dc6d4c7E76bf8E30485B37553C9632518E4A,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
0x5170e4587242028fF2E2A84bD0f7044105822623,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
0x4c1882f6FfcEB3d6E28a282Bbb936f79Ae80A2c3,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
0xa85306B12449fAf3e1dDCca15A316332Aea8ea9B,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
0x68dE1E5E1DD5093A8ef495b56432179D8ed609Ef,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
0xfFb5DcF4E8089e625Bd24684f3E5B79EecfA87D2,0xd6C8834fbD81ef5F03D658A8ad5488169eeFD3AD,5,350,TRUE,
